['91', 'NOR', 'Norway']
['92', 'NED', 'Netherlands']
['93', 'NED', 'Netherlands']
['94', 'NED', 'Netherlands']
['95', 'EST', 'Estonia']
['96', 'NOR', 'Norway']
['97', 'FIN', 'Finland']
['98', 'FIN', 'Finland']
['99', 'FRA', 'France']
['100', 'NOR', 'Norway']
['101', 'NED', 'Netherlands']
['102', 'NED', 'Netherlands']
['103', 'NED', 'Netherlands']
['104', 'NED', 'Netherlands']
['105', 'NED', 'Netherlands']
['106', 'NOR', 'Norway']
['107', 'NOR', 'Norway']
['108', 'NOR', 'Norway']
['109', 'NOR', 'Norway']
['110', 'NOR', 'Norway']
['111', 'NOR', 'Norway']
['112', 'NOR', 'Norway']
['113', 'NOR', 'Norway']
['114', 'NOR', 'Norway']
['115', 'NOR', 'Norway']
['116', 'NOR', 'Norway']
['117', 'NOR', 'Norway']
['118', 'NOR', 'Taifun']
['119', 'NOR', 'Norway']
['120', 'EST', 'Estonia']
['121', 'EST', 'Estonia']
['122', 'EST', 'Estonia']
['123', 'EST', 'Estonia']
['124', 'EST', 'Estonia']
['125', 'NOR', 'Norway']
['126', 'NOR', 'Norway']
['127', 'NOR', 'Norway']
['128', 'NOR', 'Norway']
['129', 'NOR', 'Norway']
['130', 'NOR', 'Norway']
['131', 'NOR', 'Norway']
['132', 'NOR', 'Norway']
['133', 'NOR', 'Norway']
['134', 'NOR', 'Norway']
['135', 'MAR', 'Morocco']
['136', 'EST', 'Estonia']
['137', 'EST', 'Estonia']
['138', 'EST', 'Estonia']
['139', 'EST', 'Estonia']
['140', 'ESP', 'Spain']
['141', 'ESP', 'Spain']
['142', 'ESP', 'Spain']
['143', 'ESP', 'Spain']
['144', 'ESP', 'Spain']
['145', 'ESP', 'Spain']
['146', 'FRA', 'France']
['147', 'EGY', 'Egypt']
['148', 'IRI', 'Iran']
['149', 'ESP', 'Spain']
['150', 'FRA', 'France']
['151', 'FRA', 'France']
['152', 'BUL', 'Bulgaria']
['153', 'BUL', 'Bulgaria']
['154', 'BUL', 'Bulgaria']
['155', 'BUL', 'Bulgaria']
['156', 'BUL', 'Bulgaria']
['157', 'BUL', 'Bulgaria']
['158', 'BUL', 'Bulgaria']
['159', 'ITA', 'Italy']
['160', 'ESP', 'Spain']
['161', 'CHA', 'Chad']
['162', 'AZE', 'Azerbaijan']
['163', 'SUD', 'Sudan']
['164', 'RUS', 'Russia']
['165', 'RUS', 'Russia']
['166', 'ARG', 'Argentina']
['167', 'ARG', 'Argentina']
['168', 'ESP', 'Spain']
['169', 'CUB', 'Cuba']
['170', 'CUB', 'Cuba']
['171', 'CUB', 'Cuba']
['172', 'BLR', 'Belarus']
['173', 'BLR', 'Belarus']
